Unique ID,TV Show Title,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres,Total Occ
tt9622614,Wataten! An Angel Flew Down to Me,6.6,2019, ,TV-14,23,"[' Comedy', ' Romance']",0.0
tt3815928,JINSEI Life Consulting,5.7,2014, ,,,"[' Comedy', ' Drama']",0.0
tt2133370,Wat als?,7.5,2012),(2012,,3,"[' Short', ' Comedy']",0.0
tt0289021,Simsala Grimm - Die Märchen der Brüder Grimm,7.5,1999,2010,TV-Y,25,"[' Adventure', ' Family']",0.0
tt0240873,Rude Dog and the Dweebs,6.4,1989),(1989,TV-Y,30,"[' Comedy', ' Family']",0.0
tt8959860,Motown Magic,8.0,2018, ,TV-Y,15,"[' Comedy', ' Family']",0.0
tt4415288,Mermaid Melody Pichi Pichi Pitch,7.1,2003,2004,TV-PG,24,"[' Comedy', ' Drama']",0.0
tt4457140,Ruff-Ruff Tweet and Dave,7.7,2015, ,TV-Y,30,"[' Short', ' Family']",0.0
tt10687992,Jessy and Nessy,8.5,2020, ,TV-G,,[],0.0
tt10178154,BoBoiBoy Galaxy,8.0,2016, ,,,"[' Action', ' Adventure']",0.0
tt0331743,Gravitation,7.2,1999,2001,TV-PG,22,"[' Comedy', ' Drama']",0.0
tt0101056,Cadillacs and Dinosaurs,7.0,1993,1994,,30,"[' Adventure', ' Sci-Fi']",0.0
tt2230515,Seinto Seiya: Omega,5.8,2012, ,,23,[],0.0
tt0229122,Darkstalkers,4.1,1995),(1995,TV-Y7,,"[' Action', ' Comedy']",0.0
tt13412606,Bakuten!,7.3,2021, ,,,[' Sport'],0.0
tt10051854,Little Baby Bum,6.5,2011,2019,TV-Y,2,"[' Family', ' Music']",0.0
tt1592270,Neighbors from Hell,5.9,2010),(2010,TV-14,30,[' Comedy'],0.0
tt2082624,Dog Days,6.1,2011, ,,25,"[' Action', ' Adventure']",0.0
tt7161104,Welcome to the Ballroom,7.8,2017, ,Not Rated,24,[' Music'],0.0
tt0296319,Captain Tsubasa J,7.6,1994,1995,,24,"[' Drama', ' Romance']",0.0
tt1820941,Hanasaku iroha,7.7,2011, ,TV-14,24,"[' Comedy', ' Drama']",0.0
tt1001475,Magi-Nation,6.1,2007, ,TV-Y7,22,"[' Action', ' Adventure']",0.0
tt3496824,Wishenpoof,5.1,2014,2019,TV-Y,23,"[' Family', ' Fantasy']",0.0
tt6100248,Danganronpa 3: The End of Hope's Peak Academy - Hope Arc,7.0,2016, ,M,24,[],0.0
tt0309125,Ace Lightning,6.4,2002, ,,30,"[' Action', ' Comedy']",0.0
tt13028308,Iyana kao sa renagara o pantsu misete moraitai 2,6.7,2019),(2019,,6,[],0.0
tt7263380,Clean Freak! Aoyama Kun,6.5,2017, ,,24,"[' Comedy', ' Sport']",0.0
tt2575708,Unlimited Psychic Squad,7.1,2008, ,TV-14,24,"[' Action', ' Drama']",0.0
tt0324919,Teamo Supremo,4.0,2002,2004,TV-Y,30,"[' Action', ' Adventure']",0.0
tt1952071,mm!,6.8,2010, ,TV-MA,,"[' Comedy', ' Romance']",0.0
tt14074568,BrewStew,9.3,2013, ,TV-MA,5,[' Comedy'],0.0
tt0984586,Moonzy,4.4,2006, ,TV-G,6,"[' Adventure', ' Comedy']",0.0
